
=== strategy=seu-us  seed=0  missing_rate=0.2 ===
 Round  #Remaining        Mean         Min         Max    #Pos
   416        2998    -0.06197    -2.72845     0.00000      56
   417        2997    -0.05393    -2.52842     0.00000      48
   418        2996    -0.04783    -2.65905     0.00000      55
   419        2995    -0.03496    -1.94100     0.00000      74
   420        2994    -0.03154    -2.38321     0.00000      62
   421        2993    -0.04922    -2.04689     0.00000      61
   422        2992    -0.04955    -2.65990     0.00000      48
   423        2991    -0.05868    -2.66019     0.00000      44
   424        2990    -0.05876    -2.52866     0.00000      55
   425        2989    -0.04598    -2.38706     0.00000      78
   426        2988    -0.04001    -2.21514     0.00000      67
   427        2987    -0.04727    -2.66104     0.00000      58
   428        2986    -0.04797    -2.33850     0.00000      59
   429        2985    -0.03322    -1.94368     0.00000      65
   430        2984    -0.02854    -1.99632     0.00000      47
   431        2983    -0.04277    -2.66186     0.00000      42
   432        2982    -0.05321    -2.52817     0.00000      56
   433        2981    -0.04154    -2.73220     0.00000      61
   434        2980    -0.04884    -1.99633     0.00000      50
   435        2979    -0.05653    -2.33563     0.00000      69
   436        2978    -0.02919    -2.22774     0.00000      65
   437        2977    -0.03259    -1.94378     0.00000      58
   438        2976    -0.06651    -2.63769     0.00000      63
   439        2975    -0.05652    -2.65846     0.00000      58
   440        2974    -0.03026    -2.38706     0.00000      55
   441        2973    -0.05140    -2.63769     0.00000      66
   442        2972    -0.05297    -2.65846     0.00000      63
   443        2971    -0.03852    -2.05988     0.00000      56
   444        2970    -0.03838    -1.85272     0.00000      59
   445        2969    -0.05707    -2.05135     0.00000      52
   446        2968    -0.04345    -2.73221     0.00000      59
   447        2967    -0.04229    -2.37888     0.00000      49
   448        2966    -0.05017    -1.99686     0.00000      71
   449        2965    -0.04886    -2.63767     0.00000      76
   450        2964    -0.01744    -1.65338     0.00000      68
   451        2963    -0.04058    -2.52871     0.00000      53
   452        2962    -0.04515    -2.73222     0.00000      59
   453        2961    -0.02749    -1.35632     0.00000      69
   454        2960    -0.06476    -2.52863     0.00000      57
   455        2959    -0.02785    -2.73222     0.00000      48
   456        2958    -0.02487    -1.65338     0.00000      69
   457        2957    -0.04100    -2.38704     0.00000      63
   458        2956    -0.04774    -2.22069     0.00000      71
   459        2955    -0.02657    -2.52846     0.00000      69
   460        2954    -0.03066    -1.81884     0.00000      56
   461        2953    -0.05959    -2.52851     0.00000      56
   462        2952    -0.03674    -2.39252     0.00000      46
   463        2951    -0.02359    -1.75688     0.00000      60
   464        2950    -0.02788    -1.80448     0.00000      60
   465        2949    -0.05545    -2.52866     0.00000      47
   466        2948    -0.05372    -2.64107     0.00000      55
   467        2947    -0.03483    -1.96752     0.00000      58
   468        2946    -0.05365    -2.26163     0.00000      48
